Word,Frequency
运河,111
水利,95
黄河,94
河道,88
引河,82
元年,75
不能,72
巡抚,72
入海,71
故道,70
御史,70
湖水,69
修筑,65
新河,65
水势,64
总督,63
修治,59
清口,57
侍郎,55
四年,54
兴工,53
水监,52
通州,52
河口,52
决口,50
漕运,47
南北,47
工毕,47
山东,47
东西,44
民田,44
北岸,44
以为,44
海运,44
下游,44
堤岸,42
天津,42
于是,41
临清,41
石塘,41
漕河,40
都御史,40
东南,37
尚书,37
上游,37
下流,36
疏濬,36
直隶,36
明年,35
筑堤,35
高邮,35
不可,34
西南,34
河南,34
运道,34
西北,33
五尺,33
淤塞,33
海塘,33
屯田,32
相视,32
河水,32
两岸,32
南岸,31
太湖,31
黄水,30
清水,29
南至,29
总河,29
以下,28
工部,28
石工,28
安山,28
江南,28
浙江,28
引水,27
石堤,27
倒灌,27
以通,26
大堤,26
济宁,26
启闭,26
大学士,26
石坝,26
水患,25
上下,25
流入,25
疏浚,25
东北,25
支河,25
餘丈,25
灌溉,24
淮安,24
七百,23
旧有,23
泄水,23
河决,23
河身,23
有奇,23
昭阳,23
清河,23
餘里,23
河渠,22
名曰,22
冲决,22
霖雨,22
先是,22
大德,22
旧河,22
行省,22
海口,22
给事中,22
孟渎,22
河堤,21
七十,21
疏通,21
为害,21
常熟,21
下部,21
长堤,21
宣泄,21
白茆,21
巡撫,21
真定,20
世祖,20
闸坝,20
泰定,20
水涨,20
有司,20
以防,20
地势,20
淤浅,20
石闸,20
镇江,20
蓄水,20
减河,20
江苏,20
浑河,19
至元,19
巡视,19
河流,19
道光,19
沙河,19
宝应,19
以资,19
淮水,19
请行,19
改建,19
一律,19
五十,18
民夫,18
漕舟,18
有所,18
水道,18
河间,18
开河,18
八里,18
淤垫,18
通惠河,17
滹沱,17
通河,17
白河,17
